0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:05 +0530] "GET /SDNWeb/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:23 +0530] "GET /SDNWeb/topology.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:23 +0530] "GET /SDNWeb/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:23 +0530] "GET /SDNWeb/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:23 +0530] "GET /SDNWeb/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:23 +0530] "GET /SDNWeb/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:23 +0530] "GET /SDNWeb/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:23 +0530] "GET /SDNWeb/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:23 +0530] "GET /SDNWeb/assets/css/images/bg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:23 +0530] "GET /SDNWeb/assets/css/images/bg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:30 +0530] "GET /SDNWeb/host.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:31 +0530] "GET /SDNWeb/devices.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:33 +0530] "GET /SDNWeb/link.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:20:57:35 +0530] "GET /SDNWeb/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2016:21:05:38 +0530] "GET /SDNWeb/index.html HTTP/1.1" 304 -
